Judul Pekerjaan,Perusahaan,Lokasi,Gaji_Rata2
Sales Marketing,PT Natamas Plast,Kabupaten Bogor,5076686
Staf Akuntansi Perpajakan,PT Patroon Arsindo,Jakarta Timur,6350000
Bancassurance Specialist - Penempatan Bank BNI area Harmoni,PT BNI Life Insurance,Jakarta Pusat,13500000
Bancassurance Specialist - Penempatan Bank BNI area Harmoni,PT BNI Life Insurance,Jakarta Pusat,8491176
HR & GA,PT GUNA PRAKASA UTAMA,Jakarta Raya,13500000
General Manager,SMHC PTE LTD,Seminyak,6772171
Admin Operation - Branch Balikpapan,"PT. BFI FINANCE INDONESIA, Tbk",Balikpapan,4068739
PURCHASING,PT Asterindo Plast,Surabaya,4500000
ARSITEK,PT Galang Arta Bhuwana,Jakarta Selatan,6208842
Supervisor IT Support & Networking,PT Hokinda Citralestari,Medan,6411534
Supervisor Teknik Mesin,PT Central Fermentasi Feed,Bandar Lampung,6771998
Store Manager (Bali),PT Metrox Global,Badung,7366430
Fit Out Officer,PT Central Mega Kencana,Jakarta Selatan,6030280
Rope Access Coordinator,PT Dana Purna Investama,Jakarta Raya,6500000
Branch Manager Retail,PT JACCS Mitra Pinasthika Mustika Finance Indonesia,Batam,12081732
Koordinator HSE Staff,Pengiklan Anonim,Jakarta Pusat,5490231
Teknisi Service Mesin Las (Penempatan Surabaya),PT Mega Perkakas Abadi,Surabaya,4000000
Multimedia Specialist,PT Daya5 Rekrutmen,Jakarta Selatan,10448182
PRODUCT DEVELOPMENT SUPERVISOR (GARMENT),PT Megariamas Sentosa,Jakarta Raya,8035146
Kepala Maintainence,KUMARHOMES,Jakarta Selatan,6261706
Regional Trade Activation Fundamental (RTM) - East Indonesia,ASIA PULP AND PAPER,Makassar,4800766
Export Import Supervisor (Experienced Freight Forwarder),Pengiklan Anonim,Cikarang Selatan,7715073
Store Section Head,Karunia Prima Nastari (KPN CORP.),Mempawah,6650933
LEGAL STAFF,PT Ultra Sakti,Jakarta Utara,6251060
Waiter / Waitress,PT. Tiga Rezeki Bersama,Jatisampurna,3500000
Social Media Specialist ( FMCG/Vape/E-cigarettes),PT. SUPER GALAXY ZILLIONAIRE,Jakarta Raya,7500000
Internal Audit Staff,PT Adimitra Prima Lestari,Jakarta Utara,5675415
Management Trainee Corporate Credit Analyst,"PT. BFI FINANCE INDONESIA, Tbk",Makassar,5511520
Quality Control for Furniture Manucfaturing Company,Pengiklan Anonim,Semarang,6373890
E-Commerce Specialist,PT Asiaplast Industries Tbk,Tangerang,6179078
PRODUCTION MANAGER,PT. LIANMEI INDUSTRIAL INDONESIA,Sragen,13056801
Perawat ICU,PT BINARA GUNA MEDIKTAMA (RS. PONDOK INDAH GROUP),Tangerang Selatan,4158170
IT Data Engineer Specialist,PT Bussan Auto Finance (BAF),Jakarta Selatan,10686301
Global Support Services Engineer,"TRT Shared Services, OPC",Jakarta Barat,44875000
Coordinator - Promotion,PT Mahkota Permata Perdana,Tangerang,5767812
Mechanical Supervisor,PT Surabaya Mekabox,Driyorejo,2250000
Mechanical Supervisor,PT Surabaya Mekabox,Driyorejo,3275004
Event & Activity Manager,Daewoong Bio Indonesia,Bali,10608018
GENERAL AFFAIR,PT Sahabat Intim Plasindo,Jakarta Barat,5779737
Store Supervisor,Kawan Lama Group,Denpasar,5694332
Social Media Internship (PAID),Bisalunas,Jakarta Selatan,2250000
Sales Bahan Bangunan,PT BANGUNPERKASA ADHITAMASENTRA,Tangerang,5047926
SUPPLY CHAIN MANAGEMENT (SCM) MANAGER,Lazuna Chicken,Makassar,7500000
Senior Product Specialist (Alkes),PT Mustika Sarana Piranti,Makassar,6626856
Engineering Staff – Fatmawati City Center,ASRI (a subsidiary of Agung Sedayu Group),Kebayoran Lama,5516742
Head of Corporate Medical & Ancillary,Pengiklan Anonim,Jakarta Selatan,7593411
Finance Accounting Tax Supervisor,INDRACO GROUP,Surabaya,5785228
Staff Sales,PT Patigeni Mitra Sejati,Jakarta Pusat,5950000
Visual Merchandiser Associate,Time International,Jakarta Raya,7113257
SPV MARKETING FARMASI,PT. Ragam Indah Tara,Surabaya,6750000
HP Executive Assistant (Account Officer) JAKARTA AREA,PT Prismaco Jaya Indonesia,Jakarta Raya,6744784
TEKNISI TIMBANGAN,PT Indodacin Presisi Utama,Medan,4000000
3D Designer,SKINTIFIC,Jakarta Raya,6095055
Supervisor - Bali,PT Design Ace,Bali,7117098
Manager Marketing / Procurement,PT. NADA SUARA ABADI,Surabaya,8500000
SOUS CHEF,PT. GIYANTI ANUGERAH INDONESIA,Menteng,6250000
Backend & Frontend Engineer,PT TRANSPORTASI JAKARTA,Jakarta Timur,6172292
Data Engineer,MSIG Life Insurance Indonesia Tbk,Jakarta Selatan,9264746
Operasional Manager,PT MUMUSO TRADING INDONESIA,Jakarta Raya,12135578
Purchasing Manager - Manufacture - Cikarang - WFO (670222),PT. PERSOLKELLY Recruitment Indonesia,Cikarang Pusat,13500000
Credit Marketing Officer (Jakarta),PT Astrido Pacific Finance,Jakarta Pusat,6239088
Medical Record (West Sumbawa - Contract),Siloam Hospitals Group (Tbk),Sumbawa Barat,8474735
KEPALA GUDANG,Libra Food Service,Jakarta Barat,4250000
MULTI-TALENTED CREW ( STORE MANAGER/CASHIER/BARISTA/SERVER/COMMIS PASTRY ),Exquise Patisserie Cake & Coffee,Depok,5500000
Accounting & Tax Officer,PT Probesco Disatama,Pekanbaru,5739491
Third Party Tester Specialist - Transsion Indonesia,PT Carlcare Service Ila,Jakarta Raya,6982351
Finance,Pengiklan Anonim,Jakarta Barat,5000000
Quality Assurance Assistant Manager,PT Amerta Indah Otsuka,Sukabumi,10078663
ENTERPRISE RISK MANAGEMENT ANALYST,PT Pesta Pora Abadi,Malang,6250000
ENTERPRISE RISK MANAGEMENT ANALYST,PT Pesta Pora Abadi,Malang,5794539
Warehouse Supervisor,PT Mitra Prodin,Kabupaten Gianyar,5025710
HOMEROOM TEACHER (Preschool – Kindergarten),Yayasan Tunas Manunggal,Tangerang Selatan,3900050
Instagram Specialist,PT Aman Digital Kapital Indonesia,Jakarta Raya,6250000
Area Sales Manager Pekanbaru,SUN LIFE INDONESIA,Pekanbaru,10000000
Operations Coordinator,PT Kingsmen Indonesia,Jakarta Barat,4740812
Senior Accounting Staff,"PT Indo-Rama Synthetics, Tbk",Jakarta Selatan,6401222
Sales Taking Order,PT Sumber Berkat Anugerah,Jakarta Pusat,5250000
Supervisor Accounting,Pengiklan Anonim,Jakarta Selatan,9000000
Account Receivable Assistant Manager,Pengiklan Anonim,Tangerang,9670911
Scheduler Engineering Officer,Pengiklan Anonim,Jakarta Pusat,7491468
Building Technician Staff,Agung Sedayu Group,Jakarta Utara,6036405
Content Creator,PT Everbesindo Surya Jaya,Tangerang,4937985
Central Procurement Supervisor (Biomedical),Columbia Asia Indonesia,Kelapa Gading,7525591
"Salesman B2B Daging (Palembang, Padang, Binjai)","PT Matahari Putra Prima Tbk (Hypermart, Foodmart, BOSTON, Hyfresh)",Padang Selatan,5682754
Manager Sales & Operational,PT. Tigalapan Sukses Indonesia,Makassar,9530035
"Finance, Accounting and Tax Supervisor",PT Multi Elexindo Indah,Jakarta Selatan,10000000
Project Planning and Monitoring Staff,PT Global Jet Cargo (J&T Cargo),Jakarta Utara,7344517
Project Manager (Karawang),PT Nusantara Compnet Integrator,Karawang,11851832
Marketing Communication & Tenant Business Development Manager,LEVEL 21 MALL,Denpasar,16188295
Account Officer (Bandung),"PT. Trimegah Sekuritas Indonesia, Tbk",Bandung,5049797
Part Time Teaching Assistant - English 1 Jakarta/Puri,EF English First Swara Group,Jakarta Barat,5997915
PRE-SALES LARGE FORMAT PRINTER (ENGINEER),PT Epson Indonesia,Jakarta Selatan,9059099
Store Supervisor,PT. ADIDAS INDONESIA,Tangerang,6528526
Kepala Gudang (Central Kitchen),PT Rampai Berkah Bersama,Tangerang,3750000
Primary School Teacher,PT Tunas Tuju Asa,Bekasi,5761720
Business Development Officer,PT Energasindo Heksa Karya,Jakarta Raya,7550910
Live Host Streaming,PT THRIVEWAYS TRADING INDONESIA,Jakarta Raya,5000000
SALES LEADER,PT Alta Thomas Mandiri Indonesia,Batuceper,7845126
Accounting,Pengiklan Anonim,Gianyar,4933640
Chinese and Indonesia Translator,CHINA ENFI ENGINEERING CORPORATION,Balikpapan,11471906
Stockroom Responsible - Bali,KKV INTERNATIONAL INDONESIA,Bali,5472086
Central Kitchen Coordinator,FamilyMart Indonesia,Tangerang,2750000
Central Kitchen Coordinator,FamilyMart Indonesia,Tangerang,3445300
Medical Advisor,PT Equity Life Indonesia,Jakarta Raya,5491666
Sales Assistant,PT. GOTION GREEN ENERGY SOLUTIONS INDONESIA,Jakarta Selatan,5917328
Balance of Plant (BOP) Mechanical Engineer,PT Teamworx Indonesia,Jakarta Selatan,8710116
Credit Marketing Officer - Jabodetabek,PT Suzuki Finance Indonesia,Jakarta Raya,5736346
Commissioning Engineer,SAHABAT AGRITAMA,Jakarta Pusat,4498027
Sales Planning Staff,PT Sumi Rubber Indonesia (Dunlop),Jakarta Raya,5062222
Desk Collection,PT Colmitra Persada Indonesia,Umbulharjo,2750000
Supervisor Accounting & Tax,PT Putra Sinka Sukses,Kalimantan Barat,7905000
FINANCIAL ADVISOR - Jakarta Pusat (Gambir),PT AXA Mandiri Financial Services,Jakarta Pusat,4250000
Marketplace Specialist & Content Creator,PT Sari Kimia Unggul,Surabaya,4450000
Sales and Business Development (Rental B2B),PT JAC Consulting Indonesia,Jakarta Pusat,12500000
Medical Representative (Sales & Marketing Farmasi) - Jawa Tengah,PT Dipa Pharmalab Intersains (Dipa Healthcare),Jawa Tengah,4324878
Manager Mechanic,movus technologies Inc.,Jakarta Pusat,13153571
Product Development Engineer,PT Blue Gas Indonesia,Jakarta Timur,5500000
WTP Operator-Pekalongan,PT Nikomas Gemilang,Pekalongan,4962686
Business Analyst,PT Louis Dreyfus Company Indonesia,Lampung Tengah,5372317
BUSINESS DEVELOPMENT,Favorite Indonesia,Jakarta Pusat,6911379
admin,Mitra Komunika Sejati,Madura,3974447
FINANCE,PT. SADEWI ADHIKARI LITUHAYU,Kebayoran Baru,5430389
Purchasing (Pembelian),PT Mutiara Maju Setia,Tangerang,4483210
"SPV Engineer Electrical (Rectifier, UPS, Battery)",PT Cahaya Mutiara Mandiri,Jakarta Selatan,9231623
"Staff Promosi [Event, Design]","PT Surya Timur Sakti Jatim [Distributor Motor Yamaha : Jatim,Kalimantan,NTB,NTT]",Balikpapan,4886700
Field Collection (Duri),PT Dipo Star Finance,Riau,4500000
SALES SUPERVISOR,PT TRILLIUN PRIMA SUKSES (Surabaya),Gempol,6350039
Staff Sales,PT GLOBAL JET EXPESS (Cabang Lampung),Lampung,5363436
Asset Management Admin Internship - Branch Bekasi 4 (Tambun),"PT. BFI FINANCE INDONESIA, Tbk",Bekasi,3126280
Korean Translator Staff,PT Pratama Abadi Industri (Sukabumi),Kabupaten Sukabumi,6540320
Staff Accounting,PT Textil Lintas Indonesia,Tangerang,7688043
Leader E-Commerce,Missnomi Indonesia,Kabupaten Tangerang,5750000
Operation Supervisor (Technical) - Lippo Plaza Lubuk Linggau,PT Lippo Malls Indonesia,Lubuk Linggau,6889621
Quality Control Sepervisor - Rice Mill Manufacturer - WFO - Wonosobo,PT. PERSOLKELLY Recruitment Indonesia,Bondowoso,5345881
Mechanic,PACIFIC GROUP,Mempawah,12500000
Mechanic,PACIFIC GROUP,Mempawah,8881164
Training Officer Jr.,"PT. Metrodata Electronics, Tbk",Jakarta Raya,6155663
Teknisi Makassar / Manado,PT Intergastra Nusantara,Makassar,4805454
Analyst Sustainability Strategy,PT Daya5 Rekrutmen,Jakarta Raya,6129937
Accounting & Tax Specialist,PT Central Abadi Nusantara,Jakarta Selatan,12500000
Business Development,PT Inter Prospek,Badung,4538063
GRAPHIC DESIGN (TANGERANG),PT Peksi Andaru Sakti,Curug,5422156
Fleet Technical Manager,Elitez Pte Ltd,Jakarta Pusat,27500000
General Manager Marketing,PT Fresh On Time Seafood,Cileungsi,7170320
Teacher/Teacher Assistant,PT Putera Ganesha Perkasa,Surabaya,5497403
SERVICE ADVISOR,Pengiklan Anonim,Jakarta Timur,5199749
PROJECT MANAGER,PT Atlas Resources Tbk,Musi Rawas Utara,10540321
Supervisor Produksi,"PT. Sreeya Sewu Indonesia, Tbk",Nganjuk,5726462
Area Operations Supervisor (Depok),PT Aplikasi Karya Anak Bangsa (GO-JEK Indonesia),Depok,6845447
Legal Staff (Property Company),Pengiklan Anonim,Manado,5621527
Area Sales Representative - Padang,Kanmo Group,Padang,4353659
Pelaksana Lapangan MEP,PT Pansa Karya,Bali,5250000
Assisten Engineering,PT. Metal Castindo Industritama,Bekasi,5750000
Experience Retail Manager Jakarta & Surabaya,PT Sealy Indonesia,Jakarta Raya,18492512
Business Development Manager (Toys & Games),PT Deli Group Indonesia,Jakarta Utara,19151590
Brand Activation Officer,PT Atlantic Biruraya,Yogyakarta,3440326
Electrical Engineering,"PT. Central Proteina Prima, Tbk",Cikampek,5500217
Dimsum Chef / Koki Dimsum,Hungry Panda,Jakarta Utara,3900000
Sales Agent (FREELANCE),PT Edu Sinergi Jaya,Jakarta Raya,1250000
Litigation Specialist (Bandung),"PT Wahana Ottomitra Multiartha (WOM Finance), Tbk",Bandung,4595350
Estimator Machining,PT Herman Industries,Cikupa,7000000
Product Designer,PT Satyaraya Keramindoindah,Tangerang,5172735
Sales Assistant Manager (Bahan Bangunan),PT. INTISUMBER BAJASAKTI,Penjaringan,21000000
Accounting & Reporting Specialist,PT. SGMW Multifinance Indonesia,Jakarta Pusat,6407805
PURCHASING,PT Mitra Ayu Jaya Perkasa,Surabaya,4481206
Research & Development Supervisor,PT United Waru Biscuit Manufactory,Cikande,7895447
KOL SPECIALIST,PT Aroma Prima Livindo,Cipondoh,6250000
R&D Product Development Manager (Dairy),Savoria Group,Subang,4500000
R&D Product Development Manager (Dairy),Savoria Group,Subang,8179601
"IT Governance, Procedure & Reporting Department Head","PT Bank JTrust Indonesia, Tbk",Jakarta Pusat,8397499
Assistant Marketing Manager,PT. Datascrip,Jakarta Pusat,12413051
Accounting & Tax Supervisor,PT Central Fermentasi Feed,Bandar Lampung,7890536
ACCOUNTING,PT Tuju Kuda Hitam Sakti,Menganti,4500000
TECHNICAL SUPPORT,PT Fajar Mas Murni,Surabaya,6006677
Sales Manager / Branch Head Jakarta (Filter Lubricant Heavy Equipment Industry),PT Rivindi Artha Mandiri,Sawah Besar,8196222
PPIC,Pengiklan Anonim,Surabaya,5521991
Staff Pajak,PT. Chang Jui Fang Indonesia,Grogol Petamburan,4777684
Partnership Staff,Kawan Lama Group,Cirebon,4172263
Junior Fashion Designer,"Dekatama Centra, PT",Bandung,4933740
COSMETIC SALES SUPERVISOR,PT Shangyang Technology Indonesia,Jakarta Utara,8500000
Accounting Specialist,PT. Jetour Motor Indonesia,Jakarta Selatan,10438857
Supir Operasional,Bluebird joglo,Kembangan,4492223
Brand Supervisor,PT Tiga Pilar Familia,Jakarta Utara,7731711
Marketing Communications Manager,PT. Wakaka Group Indonesia,Jakarta Utara,11877431
Project Manager,PT Prima Armada Raya,Sulawesi Tengah,10540321
Senior Accountant,PT. Bali Staff Solution,Badung,17500000
Manager Produksi PT. Belfoods Indonesia,"PT. Sreeya Sewu Indonesia, Tbk",Rejoso,14993927
Geologist,PT. Pengembangan Industri Logam,Jakarta Selatan,6252028
Accounting and Tax Supervisor,CV. Anugrah Bhakti Sentosa,Kendari,6000000
Assistant Plumbing,PT Indokoei International,Tangerang Selatan,5972316
Interior Estimator,PT New Dizzi Interior,Surabaya,5528227
Accountant Staff,PT BLANKA JAYA INDONESIA,Bali,6750000
Brand Executive,PT. Agrinesia Raya,Makassar,4676312
PROGRAMMER,Verset Teknologi,Jakarta Barat,5868418
Financial Planning & Reporting Specialist,Sinarmas Mining,Berau,6523658
Injection Molding Maintenance,PT Arisu Graphic Prima,Surabaya,5100000
MECHANIC DT & AB,Pengiklan Anonim,Kalimantan Timur,6750000
Freight Forwarding Asst. Manager,PT GLOVIS INDONESIA INTERNATIONAL,Jakarta Selatan,13913757
Key Account Manager,PT Pangeran Maju Bahagia,Tangerang Selatan,14000000
CREATIVE PRODUCER,PT Alv Media Kreasi Mandiri,Jakarta Raya,5750000
Accounting Manager (AM),PT SC Johnson And Son Indonesia,Jakarta Timur,5448750
Accounting Manager (AM),PT SC Johnson And Son Indonesia,Jakarta Timur,6967980
Recovery Procces Staff,PT Mandiri Utama Finance,Jakarta Selatan,5909393
"Marketing Executive (Penempatan : Surabaya, Palangkaraya, Pontianak)",PT. Edison Duta Sarana,Pontianak,4872650
Urban Planner Staff,PT Makmur Elok Graha,Batam,5687468
Marketing Staff,PT Jaya Trade Indonesia,Aceh Besar,4771463
Purchasing Supervisor,PT Nexco Indonesia,Cikande,6674041
Head of HR (Bali),PT Michael Page Internasional Indonesia,Bali,6567573
MARKETING COMMUNICATION MANAGER,PT Citra Inovasi Strategi Exhibition,Jakarta Selatan,14851250
Internal audit,PT Penerbit Erlangga,Jakarta Timur,5448750
"Finance, Accounting and Tax Manager - F&B/Retail (C-119735)",RGF HR Agent Indonesia,Jakarta Raya,23000000
Mobile Developer (Android) (6 Months Contract),"PT. Trimegah Sekuritas Indonesia, Tbk",Jakarta Selatan,10409845
SALES ENGINEER,PT Simtex Mechatronic Indojaya,Jakarta Barat,6222619
"Spv Accounting, Finance & Tax",PT PCM Kabel Indonesia,Tangerang,7167620
Field Trainer SURABAYA,PT Kredivo Finance Indonesia,Surabaya,5887899
TRAINER,PT Susu Life Indonesia,Jakarta Barat,6500000
SITE ENGINEER,PT Tritunas Bangun Perkasa,Batam Kota,8000000
Drill Supervisor,PT Trimegah Bangun Persada,Bombana,6904104
Management Trainee Asset Management Corporate Pekanbaru,"PT. BFI FINANCE INDONESIA, Tbk",Pekanbaru,5982984
FINANCIAL ADVISOR - Jakarta Pusat (Kebon Sirih),PT AXA Mandiri Financial Services,Jakarta Pusat,4250000
Sales for Proshop Dealer,PT Daikin Airconditioning Indonesia,Pekanbaru,7864165
Accounting Staff,Pengiklan Anonim,Bekasi Selatan,4350000
Software Engineer,PT Sentra Vidya Utama,Surabaya,7750000
Juru Mudi Kapal,PT Timur Mila Utama,Surabaya,5155319
Engineering Manager - PT. Alcotraindo Batam,YSQ International Pte Ltd,Batam,12845228
New Product Development,PT Garuda Metalindo,Jakarta Utara,6809648
Software Engineer - Graduate,AMDOCS PHILIPPINES INC.,Jakarta Raya,8498213
Chatime Staff,Kawan Lama Group,Surabaya,4495040
Agency Relationship Executive BFI Finance Cabang Manado,"PT. BFI FINANCE INDONESIA, Tbk",Manado,6122348
Junior Valuation Analyst,KJPP Ruky Safrudin & Rekan,Jakarta Raya,7250000
Area Sales Manager – FMCG Business (Jabodetabek & Banten),Pengiklan Anonim,Jakarta Raya,11275857
National Academic Manager,English 1 Indonesia,Jakarta Pusat,11282607
Legal Officer,PT Nikomas Gemilang,Serang,7000000
Senior HCGA – Jakarta (Land Acquisition),PT. Radiant Utama Interinsco Tbk,Jakarta Raya,13500000
Senior HCGA – Jakarta (Land Acquisition),PT. Radiant Utama Interinsco Tbk,Jakarta Raya,11428501
IT Enterprise Architecture Assistant Manager,PT Mandiri Utama Finance,Jakarta Raya,13500000
Accounting Staff,PT. DAME ALAM SEJAHTERA,Karawang,5650000
Director of Marketing and Admission,Wellington College Independent School JakartaIndonesia,Tangerang Selatan,7223774
Storekeeper - Southgate Apartment & Aerium Apartment,Sinar Mas Land,Jakarta Raya,6038119
Chief Engineer,MIRA HOTEL& RECOVERY,Badung,7350000
CNC Programmer,PT Herman Industries,Cikupa,7000000
IT,PT Indotel Maju Bersama,Yogyakarta,3000000
International Sales Assistant Manager,PT Santos Jaya Abadi,Jakarta Pusat,11120315
Store Supervisor,Kawan Lama Group,Gorontalo,6078447
TAX Staf,PT Laris Manis Utama,Jakarta Raya,6598792
Executive Assistant,PT. SINAR LENTERA ALAM (Lumbung Architect),Bali,5786642
Accounting,PT. Prakasa Makmur Kencana,Sumatera Utara,5219091
Account Specialist (AS-HJ),PT Hexpharm Jaya Laboratories (a Kalbe company),Kota Bengkulu,7310347
E-Commerce Assistant,Pengiklan Anonim,Jakarta Utara,6032550
Teknisi Batam,PT Hyundai Elevator Indonesia,Batam Kota,5385553
Internal Audit,PT Benberg Arome Indonesia,Surabaya,11000000
Sales Manager,PT Sumber Data Indonesia,Jakarta Selatan,12097141
Senior MEP Engineer,PT Graha Layar Prima,Jakarta Selatan,8424836
Area Commercial Assistant Manager - Makassar,PT Blue Bird Tbk,Makassar,9446746
ACCOUNTING STAFF,PT. GLOBALINDO THAMRIN JAYA,Kabupaten Pasuruan,4934092
Himalaya Wellness Internship Program,PT Himalaya Wellness Indonesia,Kelapa Gading,2575000
Purchasing Manager,Pengiklan Anonim,Kabupaten Tangerang,11987441
Direct Sales BCA Finance - Penempatan Tangerang (Serpong),PT BCA Finance,Tangerang,5295362
Senior Product Finance Analyst,PT Trinusa Travelindo,Jakarta Raya,9289727
Sales Manager,PT. ULU MAS JAYA,Palembang,7966717
CIMB Niaga Teller CIPTA - Balikpapan,PT CIMB Niaga Tbk,Kalimantan Timur,4601997
Quality Management System Leader,PT Formosa Bag Indonesia,Jawa Tengah,7508606
Tax And Accounting Staff,PT Sinar Prakasa Indonesia,Jakarta Utara,4750000
Sales Manager,PT Metrix Inspira,Tangerang Selatan,9000000
Marketing Staff,PT Finfleet Teknologi Indonesia,Tangerang,4750000
Admin Processing Internship Branch Depok dan Jakarta Selatan 3,"PT. BFI FINANCE INDONESIA, Tbk",Kebayoran Lama,4060098
staf legal,PT Dharma Lautan Utama (Surabaya),Surabaya,2250000
staf legal,PT Dharma Lautan Utama (Surabaya),Surabaya,2925347
"Account Executive AUTO2000 Jember,Tuban,Kediri,Madiun,Banyuwangi",PT Astra International - Toyota Sales Operation (Auto2000),Jawa Timur,5197152
Freelance Recruiter,Staffinc,Jambi,2250000
Area Sales Coordinator ( Purwokerto ),"PT Tigaraksa Satria, Tbk",Purwokerto,4694338
Perawat/Nurse,Thursina IIBS,Kabupaten Malang,4591160
Medical Relation Staff (RS EMC Cikarang),PT. Sarana Meditama International (EMC Healthcare Group),Cikarang Selatan,6003074
Tax Staff,PT Quiksilver Indonesia,Bali,4908387
"Assistant Category Manager (Milk, Diet, & Cold Beverage)","PT Matahari Putra Prima Tbk (Hypermart, Foodmart, BOSTON, Hyfresh)",Karawaci,13132286
Sales Marketing,PT Surya Prima Jayatama,Sawahan,6000000
Contact Center Trainer (English) Semarang,PT Transcosmos Indonesia,Semarang,6000000
Sales Supervisor (Sumatera),Korn Ferry (Agensi Pekerjaan Futurestep Worldwide (M) Sdn Bhd),Sumatera Utara,6883301
